ANOENC,NUMERO,CODIGO,CODIGO 4D,GASTO,CCAA,CAPROV,TAMAMU,TAMANO,TIPHOGAR1,TIPHOGAR7,INTERIN
2023,2883,9322,932,8610.53,País Vasco,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 2500 a menos de 3000 €
2023,17459,9322,932,8623.05,Castilla y León,No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 5000 a menos de 7000 €
2023,10025,9450,945,8632.67,Galicia,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2000 a menos de 2500 €
2023,12656,9322,932,8661.83,País Vasco,No,Municipio con menos de 10.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 1500 a menos de 2000 €
2023,11346,9322,932,8662.39,País Vasco,No,Municipio con menos de 10.000 habitantes,Seis o más personas,Pareja con tres o más hijos menores de 16 años,Pareja con tres o mas hijos,De 1000 a menos de 1500 €
2023,20221,9450,945,8674.01,Andalucía,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,14777,9322,932,8732.28,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,20495,9322,932,8778.05,Melilla,Sí,Municipio con 50.000 o más y menos 100.000 habitantes,Una persona,Una persona de 30 a 64 años,Persona sola de menos de 65 años,De 2500 a menos de 3000 €
2023,10410,9322,932,8778.98,"Madrid, Comunidad de",Sí,Municipio de 100.000 habitantes o más,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2500 a menos de 3000 €
2023,6957,9322,932,8792.27,Andalucía,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 2500 a menos de 3000 €
